relative_path,file_name,artifact_role,row_count,column_count,sha256_hash,verification_timestamp
content/tables/aggregated_scores.csv,aggregated_scores.csv,DERIVED_ANALYTICAL_OUTPUT,31,90,9e5dc4f4f6186b10d9a91b6b464d2a834c92d124bd165ec06aac53947e73454d,2026-08-25T14:49:00-05:00
content/tables/authoritative_robustness_summary.csv,authoritative_robustness_summary.csv,DERIVED_ANALYTICAL_OUTPUT,7,9,60070a47f5524f50fafa18bdd25cfc3f597a2948d50bb63806a344a21c2526e1,2026-08-25T14:49:00-05:00
content/tables/canonical_31_paper_corpus_registry.csv,canonical_31_paper_corpus_registry.csv,REGISTRY_OR_GOVERNANCE_LEDGER,31,11,2d3e966b9c1653e367f78c64473911a2d5d9006c33e6c373d1d39cecc75d3016,2026-08-25T14:49:00-05:00
content/tables/comprehensive_artifact_hash_manifest.csv,comprehensive_artifact_hash_manifest.csv,REGISTRY_OR_GOVERNANCE_LEDGER,91,7,fd9f441873ebc7a6cfbb9b30485edff0550736ecfdb10e427f81e6c2fac3920f,2026-08-25T14:49:00-05:00
content/tables/context_hypothesis_decomposition.csv,context_hypothesis_decomposition.csv,DERIVED_ANALYTICAL_OUTPUT,6,11,62e1ebe5658c18838b1dddf249c33b3ecaef6962d055f43bf412af4389bf70d0,2026-08-25T14:49:00-05:00
content/tables/council_model_influence_human_alignment.csv,council_model_influence_human_alignment.csv,DERIVED_ANALYTICAL_OUTPUT,18,13,34959209c0bccda5f0fa0cd41758eb13fdf17af666f8af7fc7a94caf44d9cc47,2026-08-25T14:49:00-05:00
content/tables/evaluator_agreement_pearson_matrix.csv,evaluator_agreement_pearson_matrix.csv,DERIVED_ANALYTICAL_OUTPUT,12,13,36ba2840c4a291228d7eb47e628fee5f184af46267b58de8c79e1c4f7a2a446c,2026-08-25T14:49:00-05:00
content/tables/evaluator_dataset_audit.csv,evaluator_dataset_audit.csv,DERIVED_ANALYTICAL_OUTPUT,21,13,5536c116e334f2d5d217e05086229d3c6e64a69b43938d86a4326a0b37da8f62,2026-08-25T14:49:00-05:00
content/tables/evaluator_strata_comparison_summary.csv,evaluator_strata_comparison_summary.csv,DERIVED_ANALYTICAL_OUTPUT,6,6,751dba09f52f447497d93fb77b8a0efa5fd5f6d7ad231589f48869ce98ad8651,2026-08-25T14:49:00-05:00
content/tables/evidence_prior_54_calls_manifest.csv,evidence_prior_54_calls_manifest.csv,REGISTRY_OR_GOVERNANCE_LEDGER,54,12,7a5204fe8ecda90ce45784f4fcc8ed45b3a01eb6afb810046ccd82d612e072a7,2026-08-25T14:49:00-05:00
content/tables/evidence_prior_analysis_summary.csv,evidence_prior_analysis_summary.csv,DERIVED_ANALYTICAL_OUTPUT,2,6,647ef9f085a888559e22f825b997c3f7e50da8af10c33ce9f7c8cab601d8b4df,2026-08-25T14:49:00-05:00
content/tables/evidence_prior_calls_ledger_54.csv,evidence_prior_calls_ledger_54.csv,REGISTRY_OR_GOVERNANCE_LEDGER,54,13,d2e22c74795f1fcf3170d23121d52942f4dd0637cfe0cb80892431ec3d418028,2026-08-25T14:49:00-05:00
content/tables/evidence_prior_scores_54.csv,evidence_prior_scores_54.csv,DERIVED_ANALYTICAL_OUTPUT,3888,7,26b497fbb1a5f16820a62b2cf6ab00673ceca9a62baf67b2ba7079aeadf6f53f,2026-08-25T14:49:00-05:00
content/tables/experts/human/hexp01_hpca_scores.csv,hexp01_hpca_scores.csv,DERIVED_ANALYTICAL_OUTPUT,31,90,cb44eda1560461e76e0ec70160c44014f06eb3c326cb93e500c04d1e155f0b8c,2026-08-25T14:49:00-05:00
content/tables/experts/human/hexp02_hpca_scores.csv,hexp02_hpca_scores.csv,DERIVED_ANALYTICAL_OUTPUT,31,90,a7b8237651104c0305cbe024db1a170188bcaad4374f91238ec365974c718340,2026-08-25T14:49:00-05:00
content/tables/experts/human/hexp0z_hpca_scores.csv,hexp0z_hpca_scores.csv,DERIVED_ANALYTICAL_OUTPUT,31,90,f5fda99d9b02e7ef614abb2ca9cce9e87d406ecb4490ba3e2aefc7ebf55c9619,2026-08-25T14:49:00-05:00
content/tables/experts/human/hexp_all_hpca_scores.csv,hexp_all_hpca_scores.csv,DERIVED_ANALYTICAL_OUTPUT,93,90,0be72487665137677e1f4275902ce88865708b9def6061e840691fdf4bfd8a0b,2026-08-25T14:49:00-05:00
content/tables/experts/human_ai/gemini3_1_pro_hpca_scores.csv,gemini3_1_pro_hpca_scores.csv,DERIVED_ANALYTICAL_OUTPUT,31,90,5ceb56a11be4e9dec789f7a0ee33efc7c51af2a74a9411f97ba07e7c5caa3cdd,2026-08-25T14:49:00-05:00
content/tables/experts/human_ai/gpt_oss_120b_indep_hpca_scores.csv,gpt_oss_120b_indep_hpca_scores.csv,DERIVED_ANALYTICAL_OUTPUT,31,90,2e024f4f8750c8a14f72b579c33da7c9fb21e177839136691e869b0a48854de7,2026-08-25T14:49:00-05:00
content/tables/experts/human_ai/gpt_oss_120b_init_hpca_scores.csv,gpt_oss_120b_init_hpca_scores.csv,DERIVED_ANALYTICAL_OUTPUT,31,90,a4f04dd4a151779a20e57d8bd0bd8818dd16e9bd1963ebdefd7db37932870b61,2026-08-25T14:49:00-05:00
content/tables/experts/human_ai/gpt_oss_120b_repa_hpca_scores.csv,gpt_oss_120b_repa_hpca_scores.csv,DERIVED_ANALYTICAL_OUTPUT,31,90,c812c9e981a451722bab63690069d8c62c1c08070ca7d43f7149c888611b12d9,2026-08-25T14:49:00-05:00
content/tables/experts/human_ai/gpt_oss_120b_repb_hpca_scores.csv,gpt_oss_120b_repb_hpca_scores.csv,DERIVED_ANALYTICAL_OUTPUT,31,90,ed1af694b768e9599e3142e2c46046d9d13e2b01e24f1cf8acd5e794eafa287c,2026-08-25T14:49:00-05:00
